輸出檔名,裝備名稱,原始媒體檔
ZTZ-99 式主戰坦克.jpeg,ZTZ-99 式主戰坦克,image1.jpeg
ZTZ-96A 式主戰坦克.jpeg,ZTZ-96A 式主戰坦克,image2.jpeg
ZTD-05 式兩棲突擊車.jpeg,ZTD-05 式兩棲突擊車,image3.jpeg
ZBD-05 型兩棲裝甲步兵戰鬥車.jpeg,ZBD-05 型兩棲裝甲步兵戰鬥車,image4.jpeg
ZBD-03 式履帶式傘兵戰車.jpeg,ZBD-03 式履帶式傘兵戰車,image5.jpeg
ZBD-04 式裝甲步兵戰鬥車.jpeg,ZBD-04 式裝甲步兵戰鬥車,image6.jpeg
ZBD-04A 式裝甲步兵戰鬥車.jpeg,ZBD-04A 式裝甲步兵戰鬥車,image7.jpeg
ZSL-92 式輪式步兵戰鬥車.jpeg,ZSL-92 式輪式步兵戰鬥車,image8.jpeg
ZBL-08 式輪式步兵戰鬥車.jpeg,ZBL-08 式輪式步兵戰鬥車,image9.jpeg
猛士型突擊車.jpeg,猛士型突擊車,image10.jpeg
ZTL-11 式輪式裝甲突擊車.jpeg,ZTL-11 式輪式裝甲突擊車,image11.jpeg
PTL-02 式輪式突擊炮.jpeg,PTL-02 式輪式突擊炮,image12.jpeg
山貓 8x8 全地形車.jpeg,山貓 8x8 全地形車,image13.jpeg
PHZ-89 式 122 公釐多管火箭砲.jpeg,PHZ-89 式 122 公釐多管火箭砲,image14.jpeg
PHL-191 式遠程多管火箭砲.jpeg,PHL-191 式遠程多管火箭砲,image15.jpeg
PHL-03 式 300 公釐火箭砲.jpeg,PHL-03 式 300 公釐火箭砲,image16.jpeg
紅箭 8 型反坦克飛彈.jpeg,紅箭 8 型反坦克飛彈,image17.jpeg
紅箭 9 型反坦克裝甲車.jpeg,紅箭 9 型反坦克裝甲車,image18.jpeg
紅箭 10 履式反坦克導彈發射車.jpeg,紅箭 10 履式反坦克導彈發射車,image19.jpeg
紅箭 73 型反坦克飛彈.jpeg,紅箭 73 型反坦克飛彈,image20.jpeg
PLZ-05 式 155 公釐自走榴彈砲.jpeg,PLZ-05 式 155 公釐自走榴彈砲,image21.jpeg
PLZ-07 式 122 公釐自走榴彈砲.jpeg,PLZ-07 式 122 公釐自走榴彈砲,image22.jpeg
PLL-05 式 120 公釐自走迫榴砲.jpeg,PLL-05 式 120 公釐自走迫榴砲,image23.jpeg
PLL-09 式 122 公釐自走榴彈砲.jpeg,PLL-09 式 122 公釐自走榴彈砲,image24.jpeg
PCP-001 式 82 公釐速射砲.jpeg,PCP-001 式 82 公釐速射砲,image25.jpeg
PCL-161 式 122 公釐車載榴彈砲.png,PCL-161 式 122 公釐車載榴彈砲,image26.png
PCL-171 式 122 公釐車載榴彈砲.jpeg,PCL-171 式 122 公釐車載榴彈砲,image27.jpeg
PCL-181 式 155 公釐車載榴彈砲.jpeg,PCL-181 式 155 公釐車載榴彈砲,image28.jpeg
PLZ-89 式 122 公釐自走榴彈砲.jpeg,PLZ-89 式 122 公釐自走榴彈砲,image29.jpeg
PLZ-10 式 120 公釐自走迫榴砲.jpeg,PLZ-10 式 120 公釐自走迫榴砲,image30.jpeg
PCL-09 式 122 公釐車載榴彈砲.jpeg,PCL-09 式 122 公釐車載榴彈砲,image31.jpeg
紅旗-7B(HQ-7B)防空導彈.jpeg,紅旗-7B(HQ-7B)防空導彈,image32.jpeg
紅旗 16 型(HQ-16)防空飛彈.png,紅旗 16 型(HQ-16)防空飛彈,image33.png
紅旗 17 型(HQ-17)防空飛彈.jpeg,紅旗 17 型(HQ-17)防空飛彈,image34.jpeg
紅旗-17A(HQ-17A)防空導彈.jpeg,紅旗-17A(HQ-17A)防空導彈,image35.jpeg
前衛 19 號單兵肩射防空飛彈.jpeg,前衛 19 號單兵肩射防空飛彈,image36.jpeg
紅纓 6 型(HN-6)單兵肩射防空飛彈.jpeg,紅纓 6 型(HN-6)單兵肩射防空飛彈,image37.jpeg
PG-99 式雙 35 公釐牽引防空快砲.jpeg,PG-99 式雙 35 公釐牽引防空快砲,image38.jpeg
PGZ-95 式 25 公釐自走防空快砲.jpeg,PGZ-95 式 25 公釐自走防空快砲,image39.jpeg
PGZ-07 式雙 35 公釐自走防空快砲.jpeg,PGZ-07 式雙 35 公釐自走防空快砲,image40.jpeg
PGL-625 式防空飛彈.jpeg,PGL-625 式防空飛彈,image41.jpeg
直 8 型運輸直升機.jpeg,直 8 型運輸直升機,image42.jpeg
直 9 型攻擊直升機.jpeg,直 9 型攻擊直升機,image43.jpeg
武直 10 型攻擊直升機.jpeg,武直 10 型攻擊直升機,image44.jpeg
米 17 型運輸直升機.jpeg,米 17 型運輸直升機,image45.jpeg
卡 28 型反潛直升機.jpeg,卡 28 型反潛直升機,image46.jpeg
武直 19 型攻擊直升機.jpeg,武直 19 型攻擊直升機,image47.jpeg
直 20 型運輸直升機.jpeg,直 20 型運輸直升機,image48.jpeg
東風 15 型彈道飛彈.jpeg,東風 15 型彈道飛彈,image49.jpeg
東風 16 型彈道飛彈.png,東風 16 型彈道飛彈,image50.png
東風 17 型彈道飛彈.png,東風 17 型彈道飛彈,image51.png
東風 21 型彈道飛彈.jpeg,東風 21 型彈道飛彈,image52.jpeg
東風 26 型彈道飛彈.jpeg,東風 26 型彈道飛彈,image53.jpeg
東風 31 型彈道飛彈.jpeg,東風 31 型彈道飛彈,image54.jpeg
東風 41 型洲際彈道飛彈.jpeg,東風 41 型洲際彈道飛彈,image55.jpeg
東風 100 型超音速巡弋飛彈.jpeg,東風 100 型超音速巡弋飛彈,image56.jpeg
071 型兩棲船塢登陸艦.jpeg,071 型兩棲船塢登陸艦,image57.jpeg
072A 型戰車登陸艦.jpeg,072A 型戰車登陸艦,image58.jpeg
073A 型登陸艦.jpeg,073A 型登陸艦,image59.jpeg
074 型登陸艦.jpeg,074 型登陸艦,image60.jpeg
075 型兩棲攻擊艦.jpeg,075 型兩棲攻擊艦,image61.jpeg
MLP 半潛船.jpeg,MLP 半潛船,image62.jpeg
726 型野馬級氣墊艇.jpeg,726 型野馬級氣墊艇,image63.jpeg
728 型野牛級氣墊艇.png,728 型野牛級氣墊艇,image64.png
遼寧號航空母艦(CV-16-001 型).jpeg,遼寧號航空母艦(CV-16/001 型),image65.jpeg
山東號航空母艦(CV-17-002 型).jpeg,山東號航空母艦(CV-17/002 型),image66.jpeg
福建號航空母艦(CV-18-003 型).jpeg,福建號航空母艦(CV-18/003 型),image67.jpeg
殲轟 7 機.jpeg,殲轟 7 機,image68.jpeg
殲 10 機.jpeg,殲 10 機,image69.jpeg
殲 11 機.jpeg,殲 11 機,image70.jpeg
殲 15 機.jpeg,殲 15 機,image71.jpeg
殲 16D 機.jpeg,殲 16D 機,image72.jpeg
殲 16 機.jpeg,殲 16 機,image73.jpeg
蘇愷 35 機.jpeg,蘇愷 35 機,image74.jpeg
殲 20 機.jpeg,殲 20 機,image75.jpeg
殲 35 機.jpeg,殲 35 機,image76.jpeg
轟 6 轟炸機.jpeg,轟 6 轟炸機,image77.jpeg
運 8 反潛機.jpeg,運 8 反潛機,image78.jpeg
運 8 技術偵察機.jpeg,運 8 技術偵察機,image79.jpeg
運 8 遠程干擾機.jpeg,運 8 遠程干擾機,image80.jpeg
運 9 型電偵機.jpeg,運 9 型電偵機,image81.jpeg
空警 200 預警機.jpeg,空警 200 預警機,image82.jpeg
空警 500 預警機.jpeg,空警 500 預警機,image83.jpeg
空警 600 預警機.jpeg,空警 600 預警機,image84.jpeg
空警 2000 預警機.jpeg,空警 2000 預警機,image85.jpeg
運 20 型運輸機.jpeg,運 20 型運輸機,image86.jpeg
伊爾 76 型運輸機.jpeg,伊爾 76 型運輸機,image87.jpeg
BZK-005 戰略無人偵察機.jpeg,BZK-005 戰略無人偵察機,image89.jpeg
BZK-007 無人偵察機.jpeg,BZK-007 無人偵察機,image90.jpeg
殲 6 無人攻擊機.jpeg,殲 6 無人攻擊機,image91.jpeg
哈比-JWS-01 反輻射無人機.jpeg,哈比/JWS-01 反輻射無人機,image93.jpeg
無偵 7 無人戰略偵察機.jpeg,無偵 7 無人戰略偵察機,image94.jpeg
無偵 10 無人戰略偵察機.jpeg,無偵 10 無人戰略偵察機,image95.jpeg
攻擊 2 型無人攻擊機(翼龍).jpeg,攻擊 2 型無人攻擊機(翼龍),image96.jpeg
攻擊 11 型無人攻擊機(利劍).jpeg,攻擊 11 型無人攻擊機(利劍),image97.jpeg
KVD-002 無人偵察機.jpeg,KVD-002 無人偵察機,image98.jpeg
TB-001 無人機(雙尾蠍).jpeg,TB-001 無人機(雙尾蠍),image99.jpeg
附加_運20型運輸機_可能重複.jpeg,運 20 型運輸機（可能為重複嵌入圖）,image88.jpeg
附加_殲6無人攻擊機_可能重複.jpeg,殲 6 無人攻擊機（可能為重複嵌入圖）,image92.jpeg
